symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen
SLC7A10	0.2808611962412228	0.46199534115501756	No data	No data	No data	No data	No data	No data	No data	No data
EMSY	0.2813227018200694	0.46022651164282113	No data	No data	No data	No data	No data	No data	No data	No data
MAP3K14	0.2810470654300328	0.4579435509163447	No data	No data	No data	No data	No data	No data	No data	No data
CDC42SE2	0.27828117973862976	0.45775140991690766	No data	No data	No data	No data	No data	No data	No data	No data
LRRC43	0.2779248548907258	0.45716528259895656	No data	No data	No data	No data	No data	No data	No data	No data
NBPF15	0.2776991724823629	0.4567940521739649	No data	No data	No data	No data	No data	No data	No data	No data
SPATA32	0.2759568143577321	0.453928005361604	No data	No data	No data	No data	No data	No data	No data	No data
SLC25A46	0.2724283701397265	0.44721208635228116	No data	No data	No data	No data	No data	No data	No data	No data
RORA	0.27316895149315534	0.4441779021681931	No data	No data	No data	No data	No data	No data	No data	No data
C1orf54	0.2695805020319301	0.4434394557588324	No data	No data	No data	No data	No data	No data	No data	No data
IL4	0.27970093157614956	0.44270062200358035	No data	No data	No data	No data	No data	No data	No data	No data
GPR132	0.2687246017837461	0.44203156484173023	No data	No data	No data	No data	No data	No data	No data	No data
ARID3A	0.2683001044558161	0.44133329897068424	No data	No data	No data	No data	No data	No data	No data	No data
DUSP1	0.2745671861283663	0.4374908944320084	No data	No data	No data	No data	No data	No data	No data	No data
DDX6	0.2645866454391434	0.4321852868746609	No data	No data	No data	No data	No data	No data	No data	No data
SOCS1	0.26864044608119614	0.43189705010405866	No data	No data	No data	No data	No data	No data	No data	No data
ALPK2	0.2616063215217973	0.43032253432392403	No data	No data	No data	No data	No data	No data	No data	No data
BCL9	0.2610605831036975	0.4294248360657607	No data	No data	No data	No data	No data	No data	No data	No data
CCDC80	0.26212547873941816	0.428455759168812	No data	No data	No data	No data	No data	No data	No data	No data
ZBTB10	0.2595274256265967	0.42690290843333256	No data	No data	No data	No data	No data	No data	No data	No data
NAA35	0.2593046553146786	0.4265364681858681	No data	No data	No data	No data	No data	No data	No data	No data
TBX21	0.26263338128136654	0.42488144799359584	No data	No data	No data	No data	No data	No data	No data	No data
ACTL9	0.2586440416537983	0.42154891959148966	No data	No data	No data	No data	No data	No data	No data	No data
CD247	0.2559885245224977	0.42108168483682734	No data	No data	No data	No data	No data	No data	No data	No data
NSMCE1	0.25591589597787534	0.4209622163958342	No data	No data	No data	No data	No data	No data	No data	No data
REL	0.25742057856396205	0.42010212909116723	No data	No data	No data	No data	No data	No data	No data	No data
TNFRSF6B	0.25482557210061646	0.41716761086727905	No data	No data	No data	No data	No data	No data	No data	No data
RTEL1	0.25373270512826607	0.41562323218154645	No data	No data	No data	No data	No data	No data	No data	No data
CTSS	0.2524815372818459	0.41531295712237415	No data	No data	No data	No data	No data	No data	No data	No data
CPE	0.2531086082171066	0.4152266441631853	No data	No data	No data	No data	No data	No data	No data	No data
PPP2R3C	0.25197555973701513	0.41448066248157195	No data	No data	No data	No data	No data	No data	No data	No data
PON3	0.2525528018033852	0.4143899664857415	No data	No data	No data	No data	No data	No data	No data	No data
OVOL1	0.2556984810119645	0.4143752699976964	No data	No data	No data	No data	No data	No data	No data	No data
RYBP	0.2518885914111753	0.4143376061893402	No data	No data	No data	No data	No data	No data	No data	No data
PTPA	0.25089926911773464	0.41271024613894064	No data	No data	No data	No data	No data	No data	No data	No data
ZNF365	0.2525782212260886	0.4122803581816805	No data	No data	No data	No data	No data	No data	No data	No data
NDUFAF1	0.25005148795126364	0.41131571049474946	No data	No data	No data	No data	No data	No data	No data	No data
RAD51B	0.2496391331660691	0.41063741818448224	No data	No data	No data	No data	No data	No data	No data	No data
SNX27	0.24815173769052154	0.40819076556975853	No data	No data	No data	No data	No data	No data	No data	No data
S100A11	0.2456660679577634	0.40349409680637255	No data	No data	No data	No data	No data	No data	No data	No data
PEX13	0.2444739260417634	0.40214104467519757	No data	No data	No data	No data	No data	No data	No data	No data
RAB5B	0.2436702455387911	0.40081905127376155	No data	No data	No data	No data	No data	No data	No data	No data
KIF3A	0.24650951447918001	0.39940756439880887	No data	No data	No data	No data	No data	No data	No data	No data
IL6	0.24904705346026795	0.3985814327614563	No data	No data	No data	No data	No data	No data	No data	No data
CDH13	0.2419402871493363	0.3979734010842148	No data	No data	No data	No data	No data	No data	No data	No data
HRNR	0.2580964473259436	0.3925138198263054	No data	No data	No data	No data	No data	No data	No data	No data
CCR7	0.23360658768454984	0.3816010040637623	No data	No data	No data	No data	No data	No data	No data	No data
TRIB1	0.2321963557123771	0.37890571976929616	No data	No data	No data	No data	No data	No data	No data	No data
HMSD	0.23013781821805873	0.3785592358903376	No data	No data	No data	No data	No data	No data	No data	No data
GLS	0.22996825248489802	0.37828031313494026	No data	No data	No data	No data	No data	No data	No data	No data
LRRC32	0.231801504013547	0.3762747610505327	No data	No data	No data	No data	No data	No data	No data	No data
CHD7	0.22628104650458464	0.3722151392783117	No data	No data	No data	No data	No data	No data	No data	No data
LAYN	0.22633955769074396	0.37079155874257885	No data	No data	No data	No data	No data	No data	No data	No data
RAPGEF6	0.2187746671713442	0.35986771525779687	No data	No data	No data	No data	No data	No data	No data	No data
STAT6	0.22304146929801702	0.35670514171702	No data	No data	No data	No data	No data	No data	No data	No data
ENSG00000293584	0.21668191971999126	0.35642530460912647	No data	No data	No data	No data	No data	No data	No data	No data
CAVIN1	0.21602272243658277	0.35534097513281393	No data	No data	No data	No data	No data	No data	No data	No data
PLK2	0.21556665312074855	0.35459077573902437	No data	No data	No data	No data	No data	No data	No data	No data
SLAMF6	0.21536619186360764	0.35426103219267263	No data	No data	No data	No data	No data	No data	No data	No data
NOTCH2	0.21533077287829694	0.3531388917554896	No data	No data	No data	No data	No data	No data	No data	No data
EGR2	0.21310769718968064	0.3505459799485686	No data	No data	No data	No data	No data	No data	No data	No data
RBM17	0.2100454105617425	0.3455087509745325	No data	No data	No data	No data	No data	No data	No data	No data
RASIP1	0.2095233942740613	0.3446500738196128	No data	No data	No data	No data	No data	No data	No data	No data
ANAPC1	0.20004557863961564	0.3290597867808887	No data	No data	No data	No data	No data	No data	No data	No data
WNK1	0.20152647131645948	0.3289919174171722	No data	No data	No data	No data	No data	No data	No data	No data
IL3	0.2031053290091732	0.328275976423195	No data	No data	No data	No data	No data	No data	No data	No data
