cell_id,group
afcfljkl-1,KC1
afcilfmk-1,KC1
afcjlobd-1,KC3
afclcgkg-1,KC1
afcngoge-1,KC1
afdcldpm-1,KC
afdglcik-1,Melanocyte
afdhbfbe-1,KC2/3_cycling
afdklhlp-1,KC1
afdmdapc-1,KC
afebjbik-1,KC
afeblood-1,KC5
afecpiob-1,KC
afeejjbf-1,KC3
afeeklnn-1,KC3
afekpoao-1,KC5
afemgcmp-1,KC3
afeojepc-1,KC3
affbimnb-1,KC3
affdcfcb-1,KC3
affddffn-1,KC3
affgfncd-1,KC
affjiocn-1,KC3
affjonhb-1,KC
afgcpbde-1,KC5
afhadjaa-1,KC3
afhlcbpj-1,KC
afhmlbjf-1,KC
afhnknmo-1,KC5
afibpcmg-1,KC3
afiojhgh-1,KC5
afiomlce-1,KC
afjabcha-1,KC3
afjjpmha-1,KC3
afjpaegi-1,KC3
afjpbaep-1,KC3
afkdbfnm-1,KC3
afkedgij-1,KC3
afkjiinh-1,KC3
aflbjbhc-1,KC1
aflefecc-1,KC1
aflefmdj-1,KC3
aflfjgfj-1,KC1
afljelpo-1,KC3
aflkkdoi-1,KC1
afllmnbc-1,KC3
aflpddje-1,KC1
aflpnoea-1,KC3
afmampkn-1,KC3
afmbiojg-1,KC3
afmddopg-1,KC
afnbgnpk-1,KC1
afndagob-1,KC3
afnogpgb-1,KC1
afoeoobf-1,KC1
afojpfnb-1,KC3
afokflpa-1,KC3
afokkejn-1,KC3
afpdphjd-1,KC3
afpfhpif-1,KC3
afphgnoh-1,KC1
afpidfjp-1,KC1
agabejed-1,KC1
agachafi-1,KC1
agaejgko-1,KC5
agahklki-1,KC
agakfglk-1,KC3
agaobaga-1,KC3
agbacpaj-1,KC3
agbbmiki-1,KC3
agbdmimf-1,KC3
agbighlo-1,KC3
agcchfaa-1,KC3
agcchiil-1,KC3
agcdjklk-1,KC5
agcelafj-1,KC3
agchjnoc-1,KC3
agcigbfk-1,KC3
agcigfjc-1,KC1
agcjhdko-1,KC3
agcpkoff-1,KC1
agdaemlp-1,KC1
agdefgmj-1,KC3
agdgmkng-1,KC3
ageaeapg-1,KC3
ageebllo-1,KC5
ageefcad-1,KC3
agehkilo-1,cDC2: MMP12hi
agenphia-1,KC1
agepbfhh-1,KC3
agfbnaio-1,KC1
agfbncbb-1,KC1
agfcdabd-1,KC1
agffdobe-1,Melanocyte
agflbmbp-1,KC1
agfolfip-1,KC3
aggbkobp-1,KC1
aggekomb-1,KC3
aggelhjb-1,KC1
agghciai-1,KC1
agghfaoa-1,KC3
aggidelg-1,KC1
aggigcmb-1,KC1
aggnfbgf-1,KC1
aggomnbj-1,KC3
aghbnbgp-1,KC1
aghicfil-1,KC3
aghmaebo-1,KC1
agihmgnl-1,KC1
agiijcjm-1,KC1
agilmjpm-1,KC3
agilnlln-1,Melanocyte
agipopjo-1,F1: Superficial
agjbeobo-1,KC3
agjkbpka-1,KC1
agjnigkp-1,KC3
agjpehdj-1,KC1
agkdooal-1,Pericyte1
agkfphnn-1,VE3_Ven
agkigfie-1,ILC3
agknblbn-1,F1: Superficial
aglabmnp-1,KC3
aglaclen-1,Melanocyte
aglfngho-1,KC3
aglfofgn-1,KC1
agllhdin-1,KC3
agllobom-1,KC3
aglmnlmn-1,KC1
aglnoble-1,KC1
aglobjjd-1,KC1
agmhpaih-1,KC3
agmhpfpk-1,KC
agmjflhn-1,KC5
agmmedbp-1,LC
agnegghh-1,KC3
agnigona-1,KC3
agoephkj-1,KC
agoijmia-1,KC3
agpcnpgf-1,KC3
ahafbgba-1,KC3
ahahhklb-1,KC1
ahakpmjl-1,KC3
ahaobdjb-1,KC3
ahbbjheb-1,KC
ahbcnhhn-1,KC1
ahbfbigl-1,KC3
ahbkffbb-1,LC
ahbkjdie-1,KC3
ahblefdm-1,KC3
ahbliemh-1,KC1
ahblmecn-1,KC3
ahbngdep-1,KC3
ahcbjnjp-1,KC3
ahdbgdof-1,KC1
ahddaeeg-1,KC3
ahddijnh-1,KC1
ahdflcch-1,KC3
ahdiehig-1,KC
ahehkidb-1,KC3
aheilmbk-1,KC3
ahejnmgc-1,KC1
ahemmihc-1,KC3
ahepbgnd-1,KC3
ahffgggi-1,KC3
ahfifagp-1,KC3
ahfjpolf-1,KC1
ahfkchaf-1,KC1
ahgdjcfo-1,KC1
ahgeeloj-1,KC3
ahghplfp-1,KC3
ahhhlnhg-1,KC3
ahhkfidl-1,KC3
ahhkpjnh-1,KC1
ahhoojap-1,Melanocyte
ahhpblnf-1,KC3
ahidaogn-1,KC1
ahidoggf-1,KC3
ahigdjbk-1,KC1
ahjbbfad-1,KC1
ahjcelab-1,KC1
ahjdfmmo-1,Melanocyte
ahjkdlgk-1,KC1
ahjlbkjn-1,KC1
ahjmcgla-1,KC1
ahjmfdpb-1,KC1
ahjnjpgn-1,KC3
ahkdbebh-1,KC3
ahkenlhk-1,KC3
ahkfiklh-1,KC3
ahkfpoij-1,KC1
ahkmindl-1,KC3
ahkpnnob-1,KC3
ahlchkkj-1,KC1
ahldohcb-1,KC3
ahljodec-1,KC3
ahmdnfea-1,KC3
ahmgmfgd-1,KC3
ahmnokip-1,KC1
ahmojibe-1,KC3
ahndnjjf-1,KC3
ahnnlabl-1,KC1
ahnomndk-1,KC1
ahnooiee-1,KC1
ahoaedec-1,KC3
ahocdlme-1,KC1
ahofcbel-1,KC3
ahoicdla-1,KC1-2_cycling
aholgjfh-1,Melanocyte
ahonglph-1,KC1
ahoocddo-1,KC1
ahpdlmob-1,KC1
ahpgnabj-1,KC1
aiaacaok-1,KC3
aiaddddc-1,KC3
aiaeebce-1,KC3
aiafppoj-1,KC1
aiajjlgl-1,nmSchwann
aiaofngb-1,cDC2
aibcjlcb-1,KC1
aibenafa-1,KC2/3_cycling
aibjaakl-1,KC1
aicagcjn-1,LC
aicfdnjl-1,KC1
aichpoho-1,KC3
aidcojhg-1,KC3
aidhbfhh-1,KC1
aidhlfmc-1,KC1
aidjkdhh-1,KC3
aidlnpgd-1,KC3
aidocehd-1,KC3
aieaealn-1,KC2/3_cycling
aiebddbi-1,KC1
aieecgdc-1,KC3
aieifkil-1,KC1
aieldfgl-1,KC1
aiffpmnp-1,KC3
aigdeeak-1,KC1
aigdjmbo-1,KC3
aigffmln-1,KC1
aigkdlap-1,KC1
aigpdmec-1,KC1
aihcdfeb-1,KC1
aihihlkl-1,Melanocyte
aihjbgph-1,KC1
aihmecck-1,KC1
aihnjlib-1,KC3
aiiadbag-1,KC1
aiiehkmh-1,KC1
aiiflbik-1,KC1
aiiknkog-1,KC1
aiikpdld-1,KC1
aiinhpfp-1,Melanocyte
aiiopica-1,KC1
aijfphnc-1,KC1
aijinnbl-1,KC1
aijjkpmk-1,KC1
aijmcpid-1,KC1
aikfkhmf-1,Melanocyte
aikoooei-1,KC1
aikppdfd-1,KC1
aildiobl-1,KC1-2_cycling
ailfmjaj-1,KC1
ailhaili-1,KC1
ailhhicd-1,KC1
ailihill-1,T_γδ
ailkcnka-1,KC1
ailmjbcf-1,KC1
ailomkfi-1,KC1
aimkaebl-1,KC1
